DATE,ACCT,DESC,Category,Amount
04/02/2020,CHASE,AMZN Mktp US*JD7DW8D93,AMAZON,-$89.20
04/02/2020,CHASE,AMZN Mktp US*GB48G5463,AMAZON,-$16.95
04/02/2020,CHASE,AMZN Mktp US*TY40O8P03,AMAZON,-$12.47
04/03/2020,CHASE,AMZN Digital*WE0CW9ZL3,AMAZON,-$0.99
04/04/2020,CHASE,Amazon.com*J51061HY3,AMAZON,-$6.02
04/05/2020,CHASE,Amazon.com*AN9OE7NO3,AMAZON,-$20.39
04/05/2020,CHASE,Amazon.com*9Q9EL6G23,AMAZON,-$11.69
04/05/2020,CHASE,Amazon.com*5F0LR4533,AMAZON,-$9.64
04/05/2020,CHASE,Amazon.com*F503Z4TJ3,AMAZON,-$14.05
04/05/2020,CHASE,Amazon.com*H659G3MX3,AMAZON,-$6.12
04/05/2020,CHASE,Amazon.com*6J3LZ50O3,AMAZON,-$14.05
04/05/2020,CHASE,Amazon.com*CE3TA7M73,AMAZON,-$8.11
04/06/2020,CHASE,Amazon.com*KL1VA0303,AMAZON,-$27.54
04/10/2020,CHASE,AMZN Mktp US*6C5EU8H63,AMAZON,-$19.12
04/10/2020,CHASE,TARGET.COM *,TARGET,-$31.85
04/11/2020,CHASE,AMZN Mktp US*EL3IW0HL3,MORTGAGE_CREDIT,-$26.49
04/11/2020,CHASE,AMZN Mktp US*F83T072W3,AMAZON,-$14.78
04/11/2020,CHASE,AMZN Mktp US*KX31A78T3,MORTGAGE_CREDIT,-$13.77
04/13/2020,CHASE,AMZN Mktp US*IG5OH9S73,AMAZON,-$6.52
04/15/2020,CHASE,AMZN Mktp US*HQ4E02JZ3,MORTGAGE_CREDIT,-$7.37
04/15/2020,CHASE,BESTBUYCOM805795689235,PAULA,-$211.99
04/16/2020,CHASE,WALMART.COM,PAULA,-$58.29
04/16/2020,CHASE,PAYPAL *BESTBUY COM,PAULA,-$100.67
04/17/2020,CHASE,AMZN Mktp US*ZL0S96D43,AMAZON,-$16.87
04/17/2020,CHASE,Amazon.com*A67T18YM3,AMAZON,-$13.22
04/17/2020,CHASE,AMZN Mktp US*T72WD7FQ3,AMAZON,-$10.59
04/18/2020,CHASE,AMZN Mktp US*7Z2MA8GA3,MORTGAGE_CREDIT,-$7.78
04/18/2020,CHASE,AMZN Mktp US*YV5C08BZ3,MORTGAGE_CREDIT,-$11.61
04/18/2020,CHASE,AMZN Mktp US*IY83J8TW3,AMAZON,-$32.84
04/19/2020,CHASE,AMZN Mktp US*9V7Q210G3,AMAZON,-$42.98
04/19/2020,CHASE,AMZN Mktp US*PU41K9OI3,AMAZON,-$14.83
04/22/2020,CHASE,AMZN Mktp US*3H3LL4Q33,MORTGAGE_CREDIT,-$27.54
04/23/2020,CHASE,AMZN Mktp US*NP8120NW3,MORTGAGE_CREDIT,-$25.42
04/24/2020,CHASE,Amazon.com*7R28T1IU3,AMAZON,-$14.05
04/25/2020,CHASE,WALMART.COM,DIAPERS & WIPES,-$80.03
04/26/2020,CHASE,Amazon.com*K97KS6ZO3,AMAZON,-$38.14
04/27/2020,CHASE,PAYPAL *REOLINK,NECESSITIES,-$129.59
04/30/2020,CHASE,Prime Video*WH1W75J23,ENTERTAINMENT,-$2.99
04/30/2020,CHASE,GOOGLE*GOOGLE PLAY,ENTERTAINMENT,-$2.90
05/02/2020,CHASE,AMZN Mktp US*0A60S7KT3,AMAZON,-$10.79
05/02/2020,CHASE,Amazon.com*9D3O39TN3,AMAZON,-$7.41
